Date,Low,High,Volume,Close,Open
1/2/2015,524.09998,531.27002,1446662,524.67999,529.01001
1/5/2015,513.06,524.33002,2054238,513.85999,523.26001
1/6/2015,501.04999,516.17499,2891950,501.60999,515
1/7/2015,499.64999,507.24399,2059366,501.07999,507
1/8/2015,491,503.48001,3344395,502.67999,497.98999
1/9/2015,494.79001,504.92001,2065715,496.01001,504.76001
1/12/2015,487.56,495.97601,2320446,492.54001,494.94
1/13/2015,492.39001,502.98001,2365687,496.17999,498.84
1/14/2015,493,503.23001,2229638,500.70999,494.64999
1/15/2015,497.76001,505.67999,2711355,501.64999,505.57001
1/16/2015,500,508.19,2292043,508,500.01001
1/20/2015,506.01599,512.5,2225922,506.89001,511
1/21/2015,506.20001,519.28003,2262455,517.85999,507.25
1/22/2015,519.70001,536.33002,2669558,534.33002,521.47998
1/23/2015,533,542.16998,2275485,539.95001,535.59003
1/26/2015,529.66998,539,1539764,535.09003,538.53003
1/27/2015,518.19,530.70001,1898844,518.63,529.96997
1/28/2015,510,522.98999,1679230,510,522.78003
1/29/2015,501.20001,511.09,4174924,510.31,511
1/30/2015,515.52002,539.87,5590977,534.51001,515.85999
2/2/2015,518.54999,533,2841976,528.20001,531.72998
2/3/2015,523.26001,533.40002,2033085,529.22998,528
2/4/2015,521.27002,532.67151,1659125,522.64001,529.23999
2/5/2015,522.09003,528.5,1844687,527.44,523.78998
2/6/2015,526.40997,537.20001,1758650,530.91998,527.64001
2/9/2015,526.02002,532,1264276,527.66998,528
2/10/2015,526.91998,537.70001,1745076,536.78998,529.29999
2/11/2015,533.3775,538.45001,1373970,535.90002,535.29999
2/12/2015,534.67297,544.82001,1615824,542.84998,537.25
2/13/2015,543.13,549.90997,1895126,549,543.34998
2/17/2015,541.09003,550,1612439,542.83002,546.83002
2/18/2015,537.51001,545.48999,1449089,539.67999,541.40002
2/19/2015,538.01001,543.10999,987478,542.87,538.03998
2/20/2015,535.79999,543.75,1441212,538.92999,543.13
2/23/2015,529.40997,536.43903,1453907,531.75,536.04999
2/24/2015,528.25,536.78998,1002993,535.95001,530
2/25/2015,535.44501,546.21997,1821041,543.75,535.90002
2/26/2015,541.5,556.14001,2305219,555.29999,543.21002
2/27/2015,552.90002,564.71002,2403553,558.39001,554.23999
3/2/2015,558.75,572.15002,2123796,571.29999,560.53003
3/3/2015,566.52002,575.39001,1700684,573.56,570.45001
3/4/2015,568.01001,577.10999,1871694,573.37,571.87
3/5/2015,573.40997,577.90997,1385818,575.25,575.02002
3/6/2015,566.76001,576.67987,1654561,567.59998,574.88
3/9/2015,563.53497,570.27002,1059336,568.66998,566.85999
3/10/2015,554.72998,564.84998,1787357,555.01001,564.25
3/11/2015,550.67999,558.14001,1815763,551.17999,555.14001
3/12/2015,550.46002,556.37,1385772,555.34003,553.51001
3/13/2015,544.21997,558.40002,1698872,547.31,553.5
3/16/2015,546,556.84998,1636493,554.35999,550.95001
3/17/2015,548,553.79999,1800570,550.83002,551.71002
3/18/2015,547.00012,559.78003,2128714,559.5,552.5
3/19/2015,556.14502,560.79999,1194049,557.95001,559.39001
3/20/2015,559.04999,561.71997,2609690,559.73999,561.65002
3/23/2015,555.83002,562.35999,1639306,558.71997,560.42999
3/24/2015,561.21002,574.59003,2836234,570.17999,562.56
